,ID,log2FoldChange
457,FBgn0002933,NA
458,FBgn0002936,-0.632954756
459,FBgn0002937,0.436956819
460,FBgn0002938,-0.118380294
461,FBgn0002939,1.646286721
462,FBgn0002940,-0.296982206
463,FBgn0002941,-0.056247609
464,FBgn0002945,0.332719002
465,FBgn0002948,-0.843521501
466,FBgn0002962,-3.703713148
467,FBgn0002973,0.179836448
468,FBgn0002985,0.213424713
469,FBgn0002989,-0.275929943
470,FBgn0003002,-0.827319551
471,FBgn0003008,-0.256394852
472,FBgn0003009,1.438484487
473,FBgn0003011,-0.099641483
474,FBgn0003015,-3.091380597
475,FBgn0003016,0.039759166
476,FBgn0003023,-3.333832603
477,FBgn0003028,-0.245226897
478,FBgn0003034,0.513011246
479,FBgn0003041,-0.074827085
480,FBgn0003042,0.122173594
481,FBgn0003044,0.314658184
482,FBgn0003046,-0.052595059
483,FBgn0003048,0.423663385
484,FBgn0003053,0.497356216
485,FBgn0003057,-7.650967156
486,FBgn0003060,-3.828813007
487,FBgn0003062,-1.150847853
488,FBgn0003065,-4.222850915
489,FBgn0003067,NA
490,FBgn0003068,-0.775384739
491,FBgn0003071,0.242170505
492,FBgn0003074,-0.160532671
493,FBgn0003076,-0.324045197
494,FBgn0003079,-0.055810191
495,FBgn0003082,0.283548015
496,FBgn0003086,-0.925969122
497,FBgn0003087,-0.800027503
498,FBgn0003089,-0.660010765
499,FBgn0003090,0.108191691
500,FBgn0003091,0.121873473
501,FBgn0003093,0.155684145
502,FBgn0003114,-4.182030098
503,FBgn0003116,-0.218116357
504,FBgn0003117,0.059851851
505,FBgn0003118,-0.312869544
506,FBgn0003124,-0.414909689
507,FBgn0003129,-0.997548685
508,FBgn0003130,-0.031610838
509,FBgn0003132,1.941489538
510,FBgn0003134,0.110696621
511,FBgn0003137,0.729283032
512,FBgn0003139,-0.061637316
513,FBgn0003140,0.857533174
514,FBgn0003141,-0.316972276
515,FBgn0003145,1.678671772
516,FBgn0003149,-0.106362632
517,FBgn0003159,0.664786224
518,FBgn0003162,-0.02831399
519,FBgn0003165,0.048851966
520,FBgn0003169,-0.053452887
521,FBgn0003174,0.157732733
522,FBgn0003175,0.656368385
523,FBgn0003187,1.062347013
524,FBgn0003189,-0.208749201
525,FBgn0003204,-0.353929672
526,FBgn0003205,-0.104091931
527,FBgn0003206,-0.017638327
528,FBgn0003209,0.307145339
529,FBgn0003210,0.049375624
530,FBgn0003218,0.368364176
531,FBgn0003227,-0.201088207
532,FBgn0003231,-0.112748261
533,FBgn0003248,-0.829703192
534,FBgn0003249,-0.260086887
535,FBgn0003250,-1.459740944
536,FBgn0003254,-0.063967511
537,FBgn0003255,0.468339869
538,FBgn0003256,0.612399328
539,FBgn0003257,-0.597254488
540,FBgn0003261,-0.035932668
541,FBgn0003267,-1.142958653
542,FBgn0003268,0.060860169
543,FBgn0003270,-1.170416595
544,FBgn0003274,-0.754598406
545,FBgn0003275,-0.724719992
546,FBgn0003277,0.530786489
547,FBgn0003278,-0.133354471
548,FBgn0003279,-0.376905674
549,FBgn0003285,0.026260942
550,FBgn0003292,-0.349415928
551,FBgn0003295,-0.261121538
552,FBgn0003300,0.108142228
553,FBgn0003301,0.435266246
554,FBgn0003302,-0.091555408
555,FBgn0003308,-0.054382083
556,FBgn0003310,-0.131682725
557,FBgn0003312,-0.695550713
558,FBgn0003313,NA
559,FBgn0003317,-0.091282908
560,FBgn0003319,0.499792065
561,FBgn0003321,0.15144571
562,FBgn0003326,0.201506281
563,FBgn0003330,-0.572850815
564,FBgn0003334,0.280612362
565,FBgn0003339,0.184549765
566,FBgn0003345,0.06120218
567,FBgn0003346,-0.451459861
568,FBgn0003353,0.119594448
569,FBgn0003356,0.903923459
570,FBgn0003357,0.387936765
571,FBgn0003358,0.234874353
572,FBgn0003360,0.282557169
573,FBgn0003366,0.305771443
574,FBgn0003371,0.401537975
575,FBgn0003372,-1.439940269
576,FBgn0003373,NA
577,FBgn0003374,0.893109587
578,FBgn0003375,NA
579,FBgn0003377,NA
580,FBgn0003378,NA
581,FBgn0003380,0.35676802
582,FBgn0003382,-1.336166313
583,FBgn0003386,0.237207374
584,FBgn0003388,0.029974821
585,FBgn0003390,0.345617843
586,FBgn0003391,0.442158288
587,FBgn0003392,0.159360748
588,FBgn0003396,0.251535287
589,FBgn0003401,-2.423276378
590,FBgn0003410,0.113641576
591,FBgn0003411,-2.005030909
592,FBgn0003415,0.601446125
593,FBgn0003416,0.270312636
594,FBgn0003423,0.050505491
595,FBgn0003429,0.552582707
596,FBgn0003430,-0.334192516
597,FBgn0003435,0.634766413
598,FBgn0003444,0.083743971
599,FBgn0003447,0.181140336
600,FBgn0003448,-5.58201187
601,FBgn0003449,-0.34899205
602,FBgn0003450,-1.09634047
603,FBgn0003459,0.281965404
604,FBgn0003460,-0.051019666
605,FBgn0003462,-0.396040851
606,FBgn0003463,-0.061665636
607,FBgn0003464,-0.165559291
608,FBgn0003475,0.381008204
609,FBgn0003479,0.433061611
610,FBgn0003480,-0.70412984
611,FBgn0003482,-3.434010456
612,FBgn0003483,-0.248176249
613,FBgn0003486,-1.999917424
614,FBgn0003495,0.193148725
615,FBgn0003499,-0.733215553
616,FBgn0003502,-0.226194825
617,FBgn0003507,0.317690471
618,FBgn0003510,NA
619,FBgn0003511,NA
620,FBgn0003512,-0.641619152
621,FBgn0003513,-0.662534732
622,FBgn0003514,-0.200308179
623,FBgn0003515,-0.412864331
624,FBgn0003517,-0.722551069
625,FBgn0003520,0.05713468
626,FBgn0003525,-1.677190194
627,FBgn0003527,0.761995489
628,FBgn0003545,-0.330453592
629,FBgn0003557,0.082967481
630,FBgn0003559,-0.108014179
631,FBgn0003567,0.230209903
632,FBgn0003575,0.228532911
633,FBgn0003598,0.039028185
634,FBgn0003607,-0.619744777
635,FBgn0003612,0.396024931
636,FBgn0003638,0.282626707
637,FBgn0003651,0.379185825
638,FBgn0003654,0.092240493
639,FBgn0003655,-4.031398558
640,FBgn0003656,0.329032262
641,FBgn0003660,-0.302832734
642,FBgn0003676,-0.739404745
643,FBgn0003683,-4.657448529
644,FBgn0003687,-0.413572329
645,FBgn0003701,0.120584368
646,FBgn0003710,0.377919289
647,FBgn0003714,-0.788250442
648,FBgn0003716,0.11971799
649,FBgn0003719,-0.173811128
650,FBgn0003720,-5.20361522
651,FBgn0003721,-0.144061393
652,FBgn0003731,0.436633436
653,FBgn0003733,-1.086566924
654,FBgn0003741,-0.062549404
655,FBgn0003742,0.096982214
656,FBgn0003744,0.104563556
657,FBgn0003747,0.522407849
658,FBgn0003748,0.225780782
659,FBgn0003751,-0.191540135
660,FBgn0003861,-0.277689135
661,FBgn0003862,0.60306809
662,FBgn0003863,1.753008855
663,FBgn0003865,-3.882724975
664,FBgn0003866,0.033719344
665,FBgn0003867,0.090306842
666,FBgn0003870,0.300994355
667,FBgn0003882,-0.067101758
668,FBgn0003884,-0.569465002
669,FBgn0003885,-0.039512387
670,FBgn0003886,-0.540855243
671,FBgn0003888,0.463015346
672,FBgn0003889,1.035226533
673,FBgn0003890,-0.316102756
674,FBgn0003891,0.361482828
675,FBgn0003892,-0.038450636
676,FBgn0003896,0.040392888
677,FBgn0003900,0.054335345
678,FBgn0003916,NA
679,FBgn0003920,2.75596208
680,FBgn0003922,-2.118424295
681,FBgn0003923,-1.030443764
682,FBgn0003926,NA
683,FBgn0003930,NA
684,FBgn0003931,NA
685,FBgn0003933,NA
686,FBgn0003934,NA
687,FBgn0003935,NA
688,FBgn0003936,NA
689,FBgn0003938,NA
690,FBgn0003941,-0.544726638
691,FBgn0003942,-0.551584715
692,FBgn0003943,-0.350632671
693,FBgn0003944,0.630544947
694,FBgn0003950,0.570430956
695,FBgn0003961,1.142681295
696,FBgn0003963,0.112591382
697,FBgn0003964,-0.175342345
698,FBgn0003965,-0.054991561
699,FBgn0003969,0.071114566
700,FBgn0003975,0.136107026
701,FBgn0003977,0.363036264
702,FBgn0003978,-0.607229542
703,FBgn0003979,-8.440228709
704,FBgn0003980,-8.247170294
705,FBgn0003983,-23.35598434
706,FBgn0003984,0.279133745
707,FBgn0003996,0.075312605
708,FBgn0003997,-0.315327234
709,FBgn0004003,0.040255506
710,FBgn0004034,1.136354167
711,FBgn0004045,-0.816166725
712,FBgn0004047,-0.84427442
713,FBgn0004049,0.034711357
714,FBgn0004050,-0.125725045
715,FBgn0004052,-4.057615837
716,FBgn0004053,-2.41459858
717,FBgn0004054,NA
718,FBgn0004055,0.1422634
719,FBgn0004057,0.030830048
720,FBgn0004066,-0.489563591
721,FBgn0004087,-0.908971597
722,FBgn0004101,-0.009445861
723,FBgn0004102,-0.058246329
724,FBgn0004103,0.059682414
725,FBgn0004106,-1.956182664
726,FBgn0004107,-0.322593275
727,FBgn0004108,0.068884024
728,FBgn0004110,-1.272668449
729,FBgn0004117,-0.12966534
730,FBgn0004118,0.306586946
731,FBgn0004132,-0.744741384
732,FBgn0004133,-0.404833862
733,FBgn0004143,0.400049023
734,FBgn0004167,0.860914726
735,FBgn0004168,0.320740744
736,FBgn0004169,-0.008237607
737,FBgn0004170,NA
738,FBgn0004171,1.326433002
739,FBgn0004172,0.659987472
740,FBgn0004173,0.050879803
741,FBgn0004174,-0.521303495
742,FBgn0004175,-0.074161304
743,FBgn0004177,-0.177315083
744,FBgn0004179,0.253080103
745,FBgn0004181,1.20696687
746,FBgn0004183,NA
747,FBgn0004185,NA
748,FBgn0004186,0.893109587
749,FBgn0004187,NA
750,FBgn0004188,NA
751,FBgn0004189,NA
752,FBgn0004190,NA
753,FBgn0004191,-0.352665499
754,FBgn0004192,-0.068663085
755,FBgn0004197,0.038773042
756,FBgn0004198,0.074328439
757,FBgn0004227,0.220152074
758,FBgn0004228,0.832538847
759,FBgn0004237,-0.192014355
760,FBgn0004240,-4.577345256
761,FBgn0004242,0.589010051
762,FBgn0004244,-0.020494919
763,FBgn0004359,0.034998146
764,FBgn0004360,-0.327787524
765,FBgn0004362,-0.897640924
766,FBgn0004363,-0.190147778
767,FBgn0004364,0.75328391
768,FBgn0004367,0.307260972
769,FBgn0004368,0.441599255
770,FBgn0004369,0.501848067
771,FBgn0004370,0.522120128
772,FBgn0004372,1.127297921
773,FBgn0004373,0.405246751
774,FBgn0004374,0.128016201
775,FBgn0004378,-0.714797326
776,FBgn0004379,0.796380394
777,FBgn0004380,-0.158563919
778,FBgn0004381,0.121800025
779,FBgn0004387,0.579046899
780,FBgn0004389,-3.23262616
781,FBgn0004390,0.302834291
782,FBgn0004391,0.346503446
783,FBgn0004394,0.199994573
784,FBgn0004395,0.069108822
785,FBgn0004396,-0.179322055
786,FBgn0004397,0.063418241
787,FBgn0004400,-2.260085313
788,FBgn0004401,-0.061724527
789,FBgn0004403,-0.704498639
790,FBgn0004404,-0.736937908
791,FBgn0004406,0.429081861
792,FBgn0004407,NA
793,FBgn0004414,0.733864384
794,FBgn0004419,-0.875569398
795,FBgn0004425,-2.09662148
796,FBgn0004426,-1.030443764
797,FBgn0004427,-7.499894434
798,FBgn0004428,2.05840779
799,FBgn0004429,-0.017278642
